Descrição;Média Mensal
Atividades de rádio;1
Motéis;1
Fabricação de móveis com predominância de madeira;1
Laboratórios clínicos;1
Fabricação de álcool;1
Fabricação de álcool;1
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";1.125
Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;1
Cartórios;1
Formação de condutores;1
Construção de rodovias e ferrovias;1.384615385
Serviços de assistência social sem alojamento;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1.2
Cartórios;2
Cartórios;1
Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;3.25
Fabricação de peças e acessórios para motocicletas;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.25
Comércio varejista de materiais de construção não especificados anteriormente;10
Comércio varejista de brinquedos e artigos recreativos;2
Fabricação de ferramentas;1
Restaurantes e similares;1
Fabricação de produtos de limpeza e polimento;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;1
Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais;1
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;19
Padaria e confeitaria com predominância de revenda;30
Serviços combinados de escritório e apoio administrativo;12
Serviços especializados para construção não especificados anteriormente;1
Serviços combinados de escritório e apoio administrativo;12.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Restaurantes e similares;1
Pesquisas de mercado e de opinião pública;1
Padaria e confeitaria com predominância de revenda;10
Fabricação de calçados de couro;1
Serviços de hemoterapia;1
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios;1.25
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Comércio atacadista de café em grão;1
Ensino fundamental;5
Fabricação de frutas cristalizadas, balas e semelhantes;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;1.307692308
Educação superior - graduação;1
Administração pública em geral;2
Cartórios;1
Limpeza em prédios e em domicílios;1.891891892
Limpeza em prédios e em domicílios;2.581818182
Atividades de limpeza não especificadas anteriormente;7
Comércio varejista de móveis;1
Administração pública em geral;1
Serviços de bancos de células e tecidos humanos;1.666666667
Atividades associativas não especificadas anteriormente;1.625
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;84.66666667
Atividades de contabilidade;1
Atividades de vigilância e segurança privada;1.4
Atividades de vigilância e segurança privada;1
Cartórios;2.666666667
Corretagem na compra e venda e avaliação de imóveis;1
Serviços combinados de escritório e apoio administrativo;1.5
Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;1
Fabricação de colchões;1
Comércio varejista de materiais de construção não especificados anteriormente;1
Construção de edifícios;1
Educação infantil - pré-escola;19
Fabricação de artefatos de material plástico para usos industriais;1
Fabricação de artefatos de material plástico para usos industriais;4.323529412
Comércio atacadista de ferragens e ferramentas;1
Comércio atacadista de ferragens e ferramentas;1
Comércio atacadista de ferragens e ferramentas;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;3.111111111
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2.3
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.25
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Atividades de organizações religiosas ou filosóficas;1
Atividades de organizações religiosas ou filosóficas;1
Obras de urbanização - ruas, praças e calçadas;1.333333333
Manutenção e reparação de equipamentos de transmissão para fins industriais;1
"Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças";1
Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos;1
Administração de obras;1
Comércio por atacado de peças e acessórios novos para veículos automotores;1
Serviços combinados de escritório e apoio administrativo;2
Fabricação de produtos cerâmicos não-refratários não especificados anteriormente;1
Comércio atacadista de resíduos e sucatas metálicos;1
Limpeza em prédios e em domicílios;1.291666667
Atividades de teleatendimento;1
Clubes sociais, esportivos e similares;1
Fabricação de outros produtos têxteis não especificados anteriormente;1
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1
Comércio varejista de materiais de construção não especificados anteriormente;8
Torrefação e moagem de café;1.375
Obras de fundações;1
Fabricação de artefatos de tapeçaria;1
Atividades de psicologia e psicanálise;1
Serviços de usinagem, tornearia e solda;1
Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos;1
Planos de saúde;1
Laboratórios clínicos;1
Restaurantes e similares;7
Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Fabricação de equipamentos e acessórios para segurança pessoal e profissional;1.333333333
Confecção de roupas íntimas;1
Desenvolvimento e licenciamento de programas de computador customizáveis;1.25
Administração pública em geral;1
Comércio varejista de calçados;1
Comércio varejista de calçados;1.5
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;2
Construção de edifícios;6
Atividades de associações de defesa de direitos sociais;2
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Comércio varejista de ferragens e ferramentas;1
Fornecimento de alimentos preparados preponderantemente para empresas;2
Limpeza em prédios e em domicílios;1.117647059
Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;1
Clubes sociais, esportivos e similares;9
Coleta de resíduos não-perigosos;1
Educação infantil - creche;1
Atividades de contabilidade;5
Captação, tratamento e distribuição de água;1
Administração pública em geral;1
Fabricação de açúcar em bruto;1
Fabricação de açúcar em bruto;1
Fabricação de açúcar em bruto;1
Construção de edifícios;1
Educação superior - graduação;1
Atividades de associações de defesa de direitos sociais;1
Administração pública em geral;1
Serviços combinados de escritório e apoio administrativo;2
Comércio varejista de calçados;1.833333333
Comércio varejista de calçados;2.428571429
Comércio varejista de calçados;2.571428571
Comércio varejista de calçados;2
Comércio varejista de calçados;1.333333333
Comércio varejista de calçados;2.857142857
Comércio varejista de calçados;5
Comércio varejista de calçados;1
Comércio varejista de calçados;1
Comércio varejista de calçados;1
Comércio varejista de calçados;1.333333333
Comércio varejista de calçados;1.75
Comércio varejista de calçados;1.333333333
Comércio varejista de calçados;1
Comércio varejista de calçados;1.857142857
Comércio varejista de calçados;1
Comércio varejista de calçados;1
Comércio varejista de calçados;1
Edição integrada à impressão de livros;1.25
Serviços de assistência social sem alojamento;3.230769231
Ensino fundamental;1
Fabricação de artigos de serralheria, exceto esquadrias;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Outras obras de instalações em construções não especificadas anteriormente;1
Outros alojamentos não especificados anteriormente;1
Condomínios prediais;1
Incorporação de empreendimentos imobiliários;2.1875
Hotéis;1
Serviços advocatícios;1
Cartórios;1
Administração de consórcios para aquisição de bens e direitos;1.45
Administração pública em geral;3
Comércio varejista de artigos do vestuário e acessórios;1
Comércio varejista de artigos do vestuário e acessórios;1
Cartórios;2
Ensino fundamental;13
Ensino fundamental;1
Atividades de associações de defesa de direitos sociais;1
Atividades de associações de defesa de direitos sociais;22.5
Cartórios;1.285714286
Comércio varejista de artigos do vestuário e acessórios;1
Comércio varejista de artigos do vestuário e acessórios;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Atividades de apoio à gestão de saúde;1.125
Clubes sociais, esportivos e similares;6.166666667
Comércio varejista de materiais de construção não especificados anteriormente;1.1
Comércio varejista de materiais de construção não especificados anteriormente;1
Comércio varejista de materiais de construção não especificados anteriormente;1
Comércio varejista de materiais de construção em geral;1
Comércio varejista de materiais de construção não especificados anteriormente;1
Serviços combinados de escritório e apoio administrativo;1
Comércio varejista de materiais de construção não especificados anteriormente;1
Comércio varejista de materiais de construção não especificados anteriormente;1
Educação superior - graduação e pós-graduação;1.714285714
Comércio varejista de materiais de construção não especificados anteriormente;7.625
Educação infantil - pré-escola;1.25
Cartórios;2.5
Corretagem no aluguel de imóveis;3
Educação infantil - creche;1
Administração de consórcios para aquisição de bens e direitos;1.5
Laboratórios clínicos;2.592592593
Cartórios;1.285714286
Cartórios;1
Clubes sociais, esportivos e similares;1
Fabricação de peças e acessórios para veículos ferroviários;1
Fabricação de peças e acessórios para veículos ferroviários;1
Serviços de funerárias;1
Administração pública em geral;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Fabricação de produtos de padaria e confeitaria com predominância de produção própria;1
Clubes sociais, esportivos e similares;2
Educação infantil - creche;1.75
Comércio varejista de móveis;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana;1
Fabricação de esquadrias de metal;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.2
Comércio varejista de artigos do vestuário e acessórios;3.5
Fiação de fibras artificiais e sintéticas;1
Comércio varejista de artigos do vestuário e acessórios;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Atividades de associações de defesa de direitos sociais;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Fabricação de laminados planos e tubulares de material plástico;1
Formação de condutores;1
Ensino fundamental;1
Atividades de agenciamento marítimo;1
Formação de condutores;1
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;1
Atividades de associações de defesa de direitos sociais;1
Condomínios prediais;1
Condomínios prediais;1
Condomínios prediais;1
Condomínios prediais;2
Condomínios prediais;1
Condomínios prediais;1
Condomínios prediais;1
Comércio atacadista de cerveja, chope e refrigerante;1
Transporte rodoviário de produtos perigosos;2.5
Comércio varejista de outros produtos não especificados anteriormente;1
Hotéis;1
Gestão e administração da propriedade imobiliária;1
Condomínios prediais;1
Condomínios prediais;1
Condomínios prediais;1.5
Condomínios prediais;1
Condomínios prediais;1
Condomínios prediais;1
Condomínios prediais;1
Condomínios prediais;1
Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios;1
Fabricação de embalagens de material plástico;1
Atividades de associações de defesa de direitos sociais;1.333333333
Serviços de apoio ao transporte por táxi, inclusive centrais de chamada;1.75
Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;1
Condomínios prediais;1
Serviços de prótese dentária;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.363636364
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Educação infantil - pré-escola;16
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;1
Cantinas - serviços de alimentação privativos;9
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.75
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.333333333
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Atividades de associações de defesa de direitos sociais;1.125
Comércio varejista especializado de equipamentos e suprimentos de informática;1
Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios;1
Construção de edifícios;1.2
Ensino fundamental;1
Construção de edifícios;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;3.887096774
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2.163265306
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.923076923
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.526315789
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;1
Clubes sociais, esportivos e similares;2
Comércio varejista de móveis;1
Comércio a varejo de peças e acessórios novos para veículos automotores;1
Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;2
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;13.19047619
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;6.588235294
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;14.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.6
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.9375
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;3.6
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.333333333
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;3
Educação superior - graduação e pós-graduação;1
Educação superior - graduação e pós-graduação;1
Atividades de associações de defesa de direitos sociais;1
Obras de terraplenagem;1.666666667
Transporte rodoviário de produtos perigosos;1.083333333
Educação infantil - pré-escola;1
Comércio por atacado de caminhões novos e usados;1
Comércio por atacado de caminhões novos e usados;1
Serviços combinados de escritório e apoio administrativo;6.42
Frigorífico - abate de bovinos;1
Frigorífico - abate de suínos;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1.222222222
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;3
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Fabricação de tênis de qualquer material;1
Comércio atacadista de tintas, vernizes e similares;1
Fabricação de papel;2.363636364
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Serviços de manutenção e reparação mecânica de veículos automotores;1.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.222222222
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana;1
Comércio atacadista de produtos alimentícios em geral;1.333333333
Construção de edifícios;1.111111111
Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;1
Comércio a varejo de motocicletas e motonetas novas;1
Desenvolvimento de programas de computador sob encomenda;1.357142857
Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;1.285714286
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Comércio por atacado de peças e acessórios novos para veículos automotores;1
Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;1.533333333
Comércio varejista de artigos do vestuário e acessórios;1
Comércio varejista de artigos do vestuário e acessórios;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Restaurantes e similares;2.333333333
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;1
Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente;1.277777778
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Construção de edifícios;1.461538462
Comércio varejista especializado de equipamentos de telefonia e comunicação;1
Incorporação de empreendimentos imobiliários;1
Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente;2.25
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;1.470588235
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;1
Fabricação de móveis com predominância de madeira;5.13559322
Fabricação de instrumentos não-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;4.325
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;8.6
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1.25
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1.5
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1.5
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1.733333333
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1.6
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1.5
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;2
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1.333333333
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Fornecimento de alimentos preparados preponderantemente para empresas;1.217391304
Lanchonetes, casas de chá, de sucos e similares;1
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;1
Hotéis;1
Comércio varejista de artigos do vestuário e acessórios;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.142857143
Comércio varejista de combustíveis para veículos automotores;2
Testes e análises técnicas;1
Testes e análises técnicas;1
Hotéis;1.5
Administração de consórcios para aquisição de bens e direitos;1
Corretores e agentes de seguros, de planos de previdência complementar e de saúde;1
Condomínios prediais;1.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Atividade médica ambulatorial restrita a consultas;11
Condomínios prediais;1
Fabricação de produtos de limpeza e polimento;1
Comércio por atacado de peças e acessórios novos para veículos automotores;1.333333333
Padaria e confeitaria com predominância de revenda;1.64
Atividades de condicionamento físico;1
Produção de alumínio e suas ligas em formas primárias;1
Locação de mão-de-obra temporária;1
Fabricação de adubos e fertilizantes, exceto organo-minerais;1
Fabricação de adubos e fertilizantes, exceto organo-minerais;1.375
Fabricação de adubos e fertilizantes, exceto organo-minerais;1
Fabricação de açúcar em bruto;6.392857143
Administração pública em geral;1.785714286
Fabricação de colchões;1
Fabricação de adesivos e selantes;1
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;1.636363636
Obras de terraplenagem;1
Comercio varejista de artigos de cama, mesa e banho;1
Comercio varejista de artigos de cama, mesa e banho;1
Comercio varejista de artigos de cama, mesa e banho;1
Comercio varejista de artigos de cama, mesa e banho;1
Comercio varejista de artigos de cama, mesa e banho;1
Comercio varejista de artigos de cama, mesa e banho;1
Atividades de rádio;1
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;1.166666667
Atividades de televisão aberta;1
Desenvolvimento e licenciamento de programas de computador customizáveis;1
Educação infantil - pré-escola;1
Aplicação de revestimentos e de resinas em interiores e exteriores;3
Aluguel de imóveis próprios;1
Fabricação de açúcar em bruto;2.714285714
Lanchonetes, casas de chá, de sucos e similares;1
Condomínios prediais;7
Condomínios prediais;1
Fabricação de fios, cabos e condutores elétricos isolados;1
Comércio a varejo de peças e acessórios novos para veículos automotores;1
Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios;1
Comércio atacadista de ferragens e ferramentas;1
Atividade médica ambulatorial com recursos para realização de exames complementares;1
Atividades de organizações religiosas ou filosóficas;1
Atividades de organizações religiosas ou filosóficas;1
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;1.5
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;1
Fabricação de calçados de couro;1
Obras de urbanização - ruas, praças e calçadas;2.24
Fabricação de embalagens de material plástico;1.333333333
Construção de edifícios;1.333333333
Comércio varejista de outros produtos não especificados anteriormente;1
Atividades de teleatendimento;1
Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente;1
Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;1
Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;1
Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;1
Fabricação de artefatos de tapeçaria;2.444444444
Fabricação de artefatos de tapeçaria;1
Fabricação de artefatos de tapeçaria;1.4
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;1
Fabricação de fraldas descartáveis;1
Atividades de rádio;1
Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;1
Fabricação de celulose e outras pastas para a fabricação de papel;2.958333333
Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;1
Fabricação de outros produtos químicos não especificados anteriormente;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Obras de montagem industrial;1
Comércio varejista de combustíveis para veículos automotores;1.25
Condomínios prediais;1
Atividades de televisão aberta;1
Comércio varejista de carnes - açougues;10
Instalação e manutenção elétrica;3.5
Instalação e manutenção elétrica;1.5
Instalação e manutenção elétrica;1
Instalação e manutenção elétrica;1
Condomínios prediais;1
Comércio atacadista de resíduos de papel e papelão;1
Atividades de rádio;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.5
Fabricação de outros produtos têxteis não especificados anteriormente;1
Condomínios prediais;1
Comércio varejista de materiais de construção não especificados anteriormente;1
Condomínios prediais;1
Condomínios prediais;1
Reparação e manutenção de computadores e de equipamentos periféricos;1
Fabricação de equipamentos de informática;1
Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;1
Comércio atacadista de bolsas, malas e artigos de viagem;1
Ensino fundamental;1
Previdência complementar fechada;1
Condomínios prediais;1
Comércio varejista de vidros;1
Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos;1.5
Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;1
Manutenção e reparação de aeronaves, exceto a manutenção na pista;10
Fabricação de outros produtos alimentícios não especificados anteriormente;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1.333333333
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;2
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1.5
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;2
Obras de terraplenagem;1
Condomínios prediais;1
Condomínios prediais;1.5
Condomínios prediais;1
Atividades de associações de defesa de direitos sociais;20
Condomínios prediais;1
Atividades de associações de defesa de direitos sociais;1
Atividades associativas não especificadas anteriormente;2
Condomínios prediais;1
Gestão e administração da propriedade imobiliária;2.5
Condomínios prediais;1
Estacionamento de veículos;1
Condomínios prediais;2
Condomínios prediais;4.769230769
Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo;1
Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;1
Fabricação de artefatos de borracha não especificados anteriormente;2
Restaurantes e similares;6
Fabricação de águas envasadas;2.666666667
Comércio atacadista de água mineral;1
Comércio atacadista de água mineral;1
Comércio atacadista de bebidas não especificadas anteriormente;1
Fabricação de águas envasadas;2
Comércio atacadista de tecidos;1.954545455
Fabricação de artefatos têxteis para uso doméstico;3.210526316
Gestão de redes de esgoto;1
Comércio por atacado de peças e acessórios novos para veículos automotores;1.666666667
Condomínios prediais;1
Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;1
Fabricação de bijuterias e artefatos semelhantes;1
Preparação e fiação de fibras de algodão;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Atividades de associações de defesa de direitos sociais;1
Administração pública em geral;1
Atividades de contabilidade;6.5
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";1.35
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";1
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";1
Condomínios prediais;1
Condomínios prediais;1
Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;1
Serviços combinados de escritório e apoio administrativo;1
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;5
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.363636364
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.111111111
Fabricação de açúcar em bruto;1
Fabricação de produtos cerâmicos não-refratários não especificados anteriormente;1.75
Confecção de roupas profissionais, exceto sob medida;15
Atividades de contabilidade;1
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;1.814814815
Serviços de microfilmagem;1
Preparação de canteiro e limpeza de terreno;1.333333333
Atividades de rádio;1
Fabricação de móveis com predominância de madeira;1
Outras obras de acabamento da construção;1
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;1
Condomínios prediais;1
Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;1.95
Fabricação de embalagens de material plástico;1
